sentence,entities
"Harry walked across the dark room, past Hedwig's large, empty cage, to the open window.","['Harry', 'Hedwig']"
"He leaned on the sill, the cool night air pleasant on his face after a long time under the blankets.",[]
Hedwig had been absent for two nights now.,['two nights']
Harry wasn't worried about her: she'd been gone this long before.,['Harry']
"But he hoped she'd be back soon -- she was the only living creature in this house who didn't flinch at the sight of him.
  ",[]
"Harry, though still rather small and skinny for his age, had grown a few inches over the last year.","['Harry', 'a few inches', 'the last year']"
"His jet-black hair, however, was just as it always had been -- stubbornly untidy, whatever he did to it.",[]
"The eyes behind his glasses were bright green, and on his forehead, clearly visible through his hair, was a thin scar, shaped like a bolt of lightning.
  ",[]
"Of all the unusual things about Harry, this scar was the most extraordinary of all.",['Harry']
"It was not, as the Dursleys had pretended for ten years, a souvenir of the car crash that had killed Harry's parents, because Lily and James Potter had not died in a car crash.","['ten years', 'Harry', 'Lily', 'James Potter']"
"They had been murdered, murdered by the most feared Dark wizard for a hundred years, Lord Voldemort.",['a hundred years']
"Harry had escaped from the same attack with nothing more than a scar on his forehead, where Voldemort's curse, instead of killing him, had rebounded upon its originator.","['Harry', 'Voldemort']"
"Barely alive, Voldemort had fled....
  ",['Voldemort']
But Harry had come face-to-face with him at Hogwarts.,['Harry']
"Remembering their last meeting as he stood at the dark window, Harry had to admit he was lucky even to have reached his thirteenth birthday.
  ","['Harry', 'thirteenth']"
"He scanned the starry sky for a sign of Hedwig, perhaps soaring
  back to him with a dead mouse dangling from her beak, expecting praise.",['Hedwig']
"Gazing absently over the rooftops, it was a few seconds before Harry realized what he was seeing.
  ","['a few seconds', 'Harry']"
"Silhouetted against the golden moon, and growing larger every moment, was a large, strangely lopsided creature, and it was flapping in Harry's direction.","['the golden moon', 'Harry']"
"He stood quite still, watching it sink lower and lower.",[]
"For a split second he hesitated, his hand on the window latch, wondering whether to slam it shut.",['second']
"But then the bizarre creature soared over one of the street lamps of Privet Drive, and Harry, realizing what it was, leapt aside.
  ","['Privet Drive', 'Harry']"
"Through the window soared three owls, two of them holding up the third, which appeared to be unconscious.","['three', 'two', 'third']"
"They landed with a soft flump on Harry's bed, and the middle owl, which was large and gray, keeled right over and lay motionless.",['Harry']
"There was a large package tied to its legs.
  ",[]
"Harry recognized the unconscious owl at once -- his name was Errol, and he belonged to the Weasley family.","['Harry', 'Errol', 'Weasley']"
"Harry dashed to the bed, untied the cords around Errol's legs, took off the parcel, and then carried Errol to Hedwig's cage.","['Harry', 'Errol', 'Errol']"
"Errol opened one bleary eye, gave a feeble hoot of thanks, and began to gulp some water.
  ","['Errol', 'one']"
Harry turned back to the remaining owls.,['Harry']
"One of them, the large snowy female, was his own Hedwig.","['One', 'Hedwig']"
"She, too, was carrying a parcel and looked extremely pleased with herself.",[]
"She gave Harry an affectionate nip with her beak as he removed her burden, then flew across the room to join Errol.
  ","['Harry', 'Errol']"
"Harry didn't recognize the third owl, a handsome tawny one, but he knew at once where it had come from, because in addition to a third package, it was carrying a letter bearing the Hogwarts crest.","['Harry', 'third', 'third']"
"When Harry relieved this owl of its burden, it ruffled its feathers importantly, stretched its wings, and took off through the window into the night.
  ","['Harry', 'the night']"
"Harry sat down on his bed and grabbed Errol's package, ripped off the brown paper, and discovered a present wrapped in gold, and his first ever birthday card.","['Harry', 'Errol', 'first']"
"Fingers trembling slightly, he opened the envelope.",[]
"Two pieces of paper fell out -- a letter and a newspaper clipping.
  ",['Two']
"The clipping had clearly come out of the wizarding newspaper, the Daily Prophet, because the people in the black-and-white picture were moving.",['the Daily Prophet']
"Harry picked up the clipping, smoothed it out, and read:
  MINISTRY OF MAGIC EMPLOYEE SCOOPS GRAND PRIZE
  Arthur Weasley, Head of the Misuse of Muggle Artifacts Office at the Ministry of Magic, has won the annual Daily Prophet Grand Prize Galleon Draw.
  ","['Harry', 'Arthur Weasley', 'the Ministry of Magic', 'annual', 'Daily Prophet Grand Prize Galleon Draw']"
"A delighted Mr. Weasley told the Daily Prophet, ""We will be spending the gold on a summer holiday in Egypt, where our eldest son, Bill, works as a curse breaker for Gringotts Wizarding Bank.","['Weasley', 'a summer holiday', 'Egypt', 'Bill', 'Gringotts Wizarding Bank']"
"""
  The Weasley family will be spending a month in Egypt, returning for the start of the new school year at Hogwarts, which five of the Weasley children currently attend.
  ","['Weasley', 'a month', 'Egypt', 'the new school year', 'five', 'Weasley']"
"Harry scanned the moving photograph, and a grin spread across his face as he saw all nine of the Weasleys waving furiously at him, standing in front of a large pyramid.","['Harry', 'nine', 'Weasleys']"
"Plump little Mrs. Weasley; tail, balding Mr. Weasley; six sons; and one daughter, all (though the black-and-white picture didn't show it) with flaming-red hair.","['Weasley', 'Weasley', 'six', 'one']"
"Right in the middle of the picture was Ron, tall and gangling, with his pet rat, Scabbers, on his shoulder and his arm around his little sister, Ginny.
  ","['Ron', 'Scabbers', 'Ginny']"
"Harry couldn't think of anyone who deserved to win a large pile of gold more than the Weasleys, who were very nice and extremely poor.",['Harry']
"He picked up Ron's letter and unfolded it.
  ",['Ron']
"Dear Harry,
  Happy birthday!
  ",['Dear Harry']
"Look, I' really sorry about that telephone call.",[]
I hope the Muggles didn't give you a hard time.,['Muggles']
"I asked Dad, and he reckons I shouldn't have shouted.
  ",['Dad']
It's amazing here in Egypt.,['Egypt']
Bill's taken us around all the tombs and you wouldn't believe the curses those old Egyptian wizards put on them.,"['Bill', 'Egyptian']"
Mum wouldn't let Ginny come in the last one.,"['Mum', 'Ginny']"
"There were all these mutant skeletons in there, of Muggles who'd broken in and grown extra heads and stuff.
  ",['Muggles']
I couldn't believe it when Dad won the Daily Prophet Draw.,"['Dad', 'the Daily Prophet Draw']"
Seven hundred galleons!,['Seven hundred']
"Most of it's gone on this trip, but they're going to buy me a new wand for next year.
  ",['next year']
Harry remembered only too well the occasion when Ron's old wand had snapped.,"['Harry', 'Ron']"
"It had happened when the car the two of them had been flying to Hogwarts had crashed into a tree on the school grounds.
  ","['two', 'Hogwarts']"
We'll be back about a week before term starts and we'll be going up to London to get my wand and our new books.,"['about a week', 'London']"
"Any chance of meeting you there?
  Don't let the Muggles get you down!
  ",[]
"Try and come to London,
  Ron
  P.S. Percy's Head Boy.","['London', 'Ron\n  ']"
"He got the letter last week.
  ",['last week']
Harry glanced back at the photograph.,['Harry']
"Percy, who was in his seventh and final year at Hogwarts, was looking particularly smug.","['Percy', 'seventh']"
"He had pinned his Head Boy badge to the fez perched jauntily on top of his neat hair, his horn-rimmed glasses flashing in the Egyptian sun.
  ","['Head Boy', 'Egyptian']"
Harry now turned to his present and unwrapped it.,['Harry']
Inside was what looked like a miniature glass spinning top.,[]
"There was another note from Ron beneath it.
  ",['Ron']
Harry -- this is a Pocket Sneakoscope.,['Harry']
"If there's someone untrustworthy around, it's supposed to light up and spin.",[]
"Bill says it's rubbish sold for wizard tourists and isn't reliable, because it kept lighting up at dinner last night.","['Bill', 'last night']"
"But he didn't realize Fred and George had put beetles in his soup.
  ",['Fred and George']
"Bye --
  Ron
  Harry put the Pocket Sneakoscope on his bedside table, where it stood quite still, balanced on its point, reflecting the luminous hands of his clock.",['Ron\n  Harry']
"He looked at it happily for a few seconds, then picked up the parcel Hedwig had brought.
  ","['a few seconds', 'Hedwig']"
"Inside this, too, there was a wrapped present, a card, and a letter, this time from Hermione.
  ",['Hermione']
"Dear Harry,
  Ron wrote to me and told me about his phone call to your Uncle Vernon.","['Dear Harry', 'Ron']"
"I do hope you're all right.
  ",[]
I'm on holiday in France at the moment and I didn't know how I was going to send this to you -- what if they'd opened it at customs?,['France']
-- but then Hedwig turned up!,['Hedwig']
I think she wanted to make sure you got something for your birthday for a change.,[]
"I bought your present by owl-order; there was an advertisement in the Daily Prophet (I've been getting it delivered; it's so good to keep up with what's going on in the wizarding world), Did you see that picture of Ron and his family a week ago?","['Ron', 'a week ago']"
I bet he's learning loads.,[]
"I'm really jealous -- the ancient Egyptian wizards were fascinating.
  ",['Egyptian']
"There's some interesting local history of witchcraft here, too.",[]
"I've rewritten my whole History of Magic essay to include some of the things I've found out, I hope it's not too long -- it's two rolls of parchment more than Professor Binns asked for.
  ","['Magic', 'two']"
Ron says he's going to be in London in the last week of the holidays.,"['Ron', 'London', 'the last week of the holidays']"
Can you make it?,[]
Will your aunt and uncle let you come?,[]
I really hope you can.,[]
"If not, I'll see you on the Hogwarts Express on September first!
  ","['the Hogwarts Express', 'September first']"
"Love from Hermione
  P.S. Ron says Percy's Head Boy.","['Love', 'Hermione', 'Ron', 'Percy']"
"I'll bet Percy's really pleased Ron doesn't seem too happy about it
  Harry laughed as he put Herrmone's letter aside and picked up her present.","['Percy', 'Ron', 'Harry', 'Herrmone']"
It was very heavy.,[]
"Knowing Hermione, he was sure it would be a large book full of very difficult spells -- but it wasn't.",[]
"His heart gave a huge bound as he ripped back the paper and saw a sleek black leather case, with silver words stamped across it, reading Broomstick Servicing Kit.
  ",['Broomstick Servicing Kit']
"""Wow, Hermione!"" Harry whispered, unzipping the case to look inside.
  ",['Harry whispered']
"There was a large jar of Fleetwood's High-Finish Handle Polish, a pair of gleaming silver Tall-Twig Clippers, a tiny brass compass to clip on your broom for long journeys, and a Handbook of Do-It-Yourself Broomcare.
  ","['Fleetwood', 'Polish', 'Tall-Twig Clippers']"
"Apart from his friends, the thing that Harry missed most about Hogwarts was Quidditch, the most popular sport in the magical world -- highly dangerous, very exciting, and played on broomsticks.","['Harry', 'Hogwarts']"
Harry happened to be a very good Quidditch player; he had been the youngest person in a century to be picked for one of the Hogwarts House teams.,"['Harry', 'Quidditch', 'a century', 'one', 'Hogwarts House']"
"One of Harry's most prized possessions was his Nimbus Two Thousand racing broom.
  ","['One', 'Harry', 'Nimbus Two Thousand']"
Harry put the leather case aside and picked up his last parcel.,['Harry']
"He recognized the untidy scrawl on the brown paper at once: this was from Hagrid, the Hogwarts gamekeeper.","['Hagrid', 'Hogwarts']"
"He tore off the top layer of paper and glimpsed something green and leathery, but before he could unwrap it properly, the parcel gave a strange quiver, and whatever was inside it snapped loudly -- as though it had jaws.
  ",[]
Harry froze.,['Harry']
"He knew that Hagrid would never send him anything dangerous on purpose, but then, Hagrid didn't have a normal person's view of what was dangerous.","['Hagrid', 'Hagrid']"
"Hagrid had been known to befriend giant spiders, buy vicious, three-headed dogs from men in pubs, and sneak illegal dragon eggs into his cabin.
  ",['three']
Harry poked the parcel nervously.,['Harry']
It snapped loudly again.,[]
"Harry reached for the lamp on his bedside table, gripped it firmly in one hand, and raised it over his head, ready to strike.",['Harry']
"Then he seized the rest of the wrapping paper in his other hand and pulled.
  ",[]
And out fell -- a book.,[]
"Harry just had time to register its handsome green cover, emblazoned with the golden title The Monster Book of Monsters, before it flipped onto its edge and scuttled sideways along the bed like some weird crab.
  ","['Harry', 'The Monster Book of Monsters']"
"""Uh-oh,"" Harry muttered.
  ",['Harry']
The book toppled off the bed with a loud clunk and shuffled rapidly across the room.,[]
Harry followed it stealthily.,['Harry']
The book was hiding in the dark space under his desk.,[]
"Praying that the Dursleys were still fast asleep, Harry got down on his hands and knees and reached toward it.
  ",['Harry']
"""Ouch!""
  ",[]
"The book snapped shut on his hand and then flapped past him, still scuttling on its covers.",[]
"Harry scrambled around, threw himself forward, and managed to flatten it.",['Harry']
"Uncle Vernon gave a loud, sleepy grunt in the room next door.
  ",['Vernon']
"Hedwig and Errol watched interestedly as Harry clamped the struggling book tightly in his arms, hurried to his chest of drawers, and pulled out a belt, which he buckled tightly around it.","['Hedwig', 'Errol', 'Harry']"
"The Monster Book shuddered angrily, but could no longer flap and snap, so Harry threw it down on the bed and reached for Hagrid's card.
  ","['Harry', 'Hagrid']"
"Dear Harry,
  Happy Birthday!
  Think you might find this useful for next year.","['Dear Harry', 'next year']"
Won't say no more here.,[]
Tell you when I see you.,[]
"Hope the Muggles are treating you right.
  ",[]
"All the best,
  Hagrid
  It struck Harry as ominous that Hagrid thought a biting book would come in useful, but he put Hagrid's card up next to Ron's and Hermione's, grinning more broadly than ever.","['Harry', 'Hagrid', 'Hagrid', 'Ron', 'Hermione']"
"Now there was only the letter from Hogwarts left.
  ",['Hogwarts']
"Noticing that it was rather thicker than usual, Harry slit open the envelope, pulled out the first page of parchment within, and read:
  Dear Mr. Potter,
  Please note that the new school year will begin on September the first.","['Harry', 'first', 'Potter', 'September', 'first']"
"The Hogwarts Express will leave ftom King's Cross station, platform nine and three-quarters, at eleven o'clock.
  ","['The Hogwarts Express', ""King's Cross"", 'nine and three-quarters', ""eleven o'clock""]"
Third years are permitted to visit the village of Hogsmeade on certain weekends.,"['Third years', 'Hogsmeade']"
"Please give the enclosed permission form to your parent or guardian to sign.
  ",[]
A list of books for next year is enclosed.,['next year']
"Yours sincerely,
  Professor M. McGonagall
  Deputy Headmistress
  Harry pulled out the Hogsmeade permission form and looked at it, no longer grinning.","['M. McGonagall', 'Harry', 'Hogsmeade']"
"It would be wonderful to visit Hogsmeade on weekends; he knew it was an entirely wizarding village, and he had never set foot there.",['Hogsmeade']
"But how on earth was he going to persuade Uncle Vernon or Aunt Petunia to sign the form?
  ","['Uncle Vernon', 'Aunt Petunia']"
He looked over at the alarm clock.,[]
"It was now two o'clock in the morning.
  ","[""two o'clock""]"
"Deciding that he'd worry about the Hogsmeade form when he woke up, Harry got back into bed and reached up to cross off another day on the chart he'd made for himself, counting down the days left until his return to Hogwarts.","['Hogsmeade', 'Harry', 'another day', 'the days']"
"Then he took off his glasses and lay down, eyes open, facing his three birthday cards.
  ",['three']
"Extremely unusual though he was, at that moment Harry Potter felt just like everyone else -- glad, for the first time in his life, that it was his birthday.
  ","['Harry Potter', 'first']"
"CHAPTER TWO
  AUNT MARGE'S BIG MISTAKE
  Harry went down to breakfast the next morning to find the three Dursleys already sitting around the kitchen table.","['TWO', 'MARGE', 'Harry', 'the next morning', 'three']"
"They were watching a brand-new television, a welcome-home-for-the-summer present for Dudley, who had been complaining loudly about the long walk between the fridge and the television in the living room.","['summer', 'Dudley']"
"Dudley had spent most of the summer in the kitchen, his piggy little eyes fixed on the screen and his five chins wobbling as he ate continually.
  ","['Dudley', 'the summer', 'five']"
"Harry sat down between Dudley and Uncle Vernon, a large, beefy man with very little neck and a lot of mustache.","['Harry', 'Dudley', 'Uncle Vernon']"
"Far from wishing Harry a happy birthday, none of the Dursleys made any sign that they had noticed Harry enter the room, but Harry was far too used to this to care.","['Harry a happy', 'Harry', 'Harry']"
"He helped himself to a piece of toast and then looked up at the reporter on the television, who was halfway through a report on an escaped convict:
  ""...",[]
The public is warned that Black is armed and extremely dangerous.,[]
"A special hot line has been set up, and any sighting of Black should be reported immediately.",[]
"""
  ""No need to tell us he's no good,"" snorted Uncle Vernon, staring over the top of his newspaper at the prisoner.",['Uncle Vernon']
"""Look at the state of him, the filthy layabout!",[]
"Look at his hair!""
  He shot a nasty look sideways at Harry, whose untidy hair had always been a source of great annoyance to Uncle Vernon.","['Harry', 'Uncle Vernon']"
"Compared to the man on the television, however, whose gaunt face was surrounded by a matted, elbow-length tangle, Harry felt very well groomed indeed.
  ",['Harry']
"The reporter had reappeared.
  ",[]
"""The Ministry of Agriculture and Fisheries will announce today --""
  ""Hang on!""","['The Ministry of Agriculture and Fisheries', 'today']"
"barked Uncle Vernon, staring furiously at the reporter.",['Uncle Vernon']
"""You didn't tell us where that maniac's escaped from!",[]
\What use is that?,[]
"Lunatic could be coming up the street right now!""
  Aunt Petunia, who was bony and horse-faced, whipped around and peered intently out of the kitchen window.",['Aunt Petunia']
Harry knew Aunt Petunia would simply love to be the one to call the hot line number.,"['Harry', 'Aunt Petunia']"
"She was the nosiest woman in the world and spent most of her life spying on the boring, law-abiding neighbors.
  ",[]
"""When will they learn,"" said Uncle Vernon, pounding the table with his large purple fist, ""that hanging's the only way to deal with these people?",['Uncle Vernon']
"""
  ""Very true,"" said Aunt Petunia, who was still squinting into next door's runner beans.
  ",['Aunt Petunia']
"Uncle Vernon drained his teacup, glanced at his watch, and added, ""I'd better be off in a minute, Petunia.","['Vernon', 'a minute', 'Petunia']"
Marge's train gets in at ten.,['ten']
"""
  Harry, whose thoughts had been upstairs with the Broomstick Servicing Kit, was brought back to earth with an unpleasant bump.
  ","['Harry', 'the Broomstick Servicing Kit']"
"""Aunt Marge?"" he blurted out.",['Aunt Marge']
"""Sh -- she's not coming here, is she?""
  Aunt Marge was Uncle Vernon's sister.","[""Uncle Vernon's""]"
"Even though she was not a blood relative of Harry's (whose mother had been Aunt Petunia's sister), he had been forced to call her ""Aunt"" all his life.","['Harry', 'Petunia', 'Aunt']"
"Aunt Marge lived in the country, in a house with a large garden, where she bred bulldogs.",['Aunt Marge']
"She didn't often stay at Privet Drive, because she couldn't bear to leave her precious dogs, but each of her visits stood out horribly vividly in Harry's mind.
  ","['Privet Drive', 'Harry']"
"At Dudley's fifth birthday party, Aunt Margo had whacked Harry around the shins with her walking stick to stop him from beating Dudley at musical statues.","['Dudley', 'fifth', 'Aunt Margo', 'Harry', 'Dudley']"
"A few years later, she had turned up at Christmas with a computerized robot for Dudley and a box of dog biscuits for Harry.","['A few years later', 'Christmas', 'Dudley', 'Harry']"
"On her last visit, the year before Harry started at Hogwarts, Harry had accidentally trodden on the tail of her favorite dog.","['the year', 'Harry', 'Hogwarts', 'Harry']"
"Ripper had chased Harry out into the garden and up a tree, and Aunt Marge had refused to call him off until past midnight.","['Ripper', 'Harry', 'Aunt Marge', 'past midnight']"
"The memory of this incident still brought tears of laughter to Dudley's eyes.
  ",['Dudley']
"""Marge'll be here for a week,"" Uncle Vernon snarled, 11 and while we're on the subject"" -- he pointed a fat finger threateningly at Harry -- ""we need to get a few things straight before I go and collect her.","['a week', 'Uncle', 'Vernon', '11', 'Harry']"
"""
  Dudley smirked and withdrew his gaze from the television.",['Dudley']
"Watching Harry being bullied by Uncle Vernon was Dudley's favorite form of entertainment.
  ","['Harry', 'Uncle Vernon', 'Dudley']"
"""Firstly,"" growled Uncle Vernon, ""you'll keep a civil tongue in your head when you're talking to Marge.","['Firstly', 'Uncle Vernon', 'Marge']"
"""
  ""All right,"" said Harry bitterly, ""if she does when she's talking to me.
  ",['Harry bitterly']
"""Secondly,"" said Uncle Vernon, acting as though he had not heard Harry's reply, ""as Marge doesn't know anything about your abnormality, I don't want any -- any funny stuff while she's here.
  ","['Secondly', 'Uncle Vernon', 'Harry', 'Marge']"
"You behave yourself, got me?""
  ""I will if she does,"" said Harry through gritted teeth.
  ",['Harry']
"""And thirdly,"" said Uncle Vernon, his mean little eyes now slits in his great purple face, ""we've told Marge you attend St. Brutus's Secure Center for Incurably Criminal Boys.","['thirdly', 'Uncle Vernon', 'Marge', ""St. Brutus's"", 'Secure Center for Incurably Criminal Boys']"
"""
  ""What?""",[]
"Harry yelled.
  ",['Harry']
"""And you'll be sticking to that story, boy, or there'll be trouble, spat Uncle Vernon.
  ",['Uncle Vernon']
"Harry sat there, white-faced and furious, staring at Uncle Vernon, hardly able to believe it.","['Harry', 'Vernon']"
"Aunt Marge coming for a weeklong visit -- it was the worst birthday present the Dursleys had ever given him, including that pair of Uncle Vernon's old socks.
  ","['Aunt Marge', ""Uncle Vernon's""]"
"""Well, Petunia,"" said Uncle Vernon, getting heavily to his feet, ""I'll be off to the station, then.","['Petunia', 'Uncle Vernon']"
"Want to come along for the ride, Dudders?""
  ""No,"" said Dudley, whose attention had returned to the television now that Uncle Vernon had finished threatening Harry.
  ","['Dudders', 'Dudley', 'Uncle Vernon', 'Harry']"
"""Duddy's got to make himself smart for his auntie,"" said Aunt Petunia, smoothing Dudley's thick blond hair.","['Aunt Petunia', 'Dudley']"
"""Mummy's bought him a lovely new bow tie.",['Mummy']
"""
  Uncle Vernon clapped Dudley on his porky shoulder.","['Uncle Vernon', 'Dudley']"
"""See you in a bit, then,"" he said, and he left the kitchen.
  Harry, who had been sitting in a kind of horrified trance, had a sudden idea.",['Harry']
"Abandoning his toast, he got quickly to his feet and followed Uncle Vernon to the front door.
  ",['Uncle Vernon']
"Uncle Vernon was pulling on his car coat.
  ",['Vernon']
"""I'm not taking you,"" he snarled as he turned to see Harry watching him.
  ",['Harry']
"""Like I wanted to come,"" said Harry coldly.",['Harry coldly']
"""I want to ask you something.",[]
"""
  Uncle Vernon eyed him suspiciously.
  ",['Uncle Vernon']
